2025-05-25 10:53:13,302 - INFO - === Starting Enhanced MCP Agent Session ===
2025-05-25 10:53:13,322 - INFO - Initialized LLM: models/gemini-2.0-flash
2025-05-25 10:53:13,323 - INFO - MCP Server Configuration: {'playwright': {'command': 'npx', 'args': ['@playwright/mcp@latest'], 'transport': 'stdio', 'environment': {'PLAYWRIGHT_HEADLESS': 'false'}}}
2025-05-25 10:53:13,323 - INFO - Initializing MCP client...
2025-05-25 10:53:14,630 - INFO - Available tools: ['browser_close', 'browser_resize', 'browser_console_messages', 'browser_handle_dialog', 'browser_file_upload', 'browser_install', 'browser_press_key', 'browser_navigate', 'browser_navigate_back', 'browser_navigate_forward', 'browser_network_requests', 'browser_pdf_save', 'browser_take_screenshot', 'browser_snapshot', 'browser_click', 'browser_drag', 'browser_hover', 'browser_type', 'browser_select_option', 'browser_tab_list', 'browser_tab_new', 'browser_tab_select', 'browser_tab_close', 'browser_generate_playwright_test', 'browser_wait_for']
2025-05-25 10:53:14,631 - INFO - 
=== Available MCP Tools ===
- browser_close: Close the page
- browser_resize: Resize the browser window
- browser_console_messages: Returns all console messages
- browser_handle_dialog: Handle a dialog
- browser_file_upload: Upload one or multiple files
- browser_install: Install the browser specified in the config. Call this if you get an error about the browser not being installed.
- browser_press_key: Press a key on the keyboard
- browser_navigate: Navigate to a URL
- browser_navigate_back: Go back to the previous page
- browser_navigate_forward: Go forward to the next page
- browser_network_requests: Returns all network requests since loading the page
- browser_pdf_save: Save page as PDF
- browser_take_screenshot: Take a screenshot of the current page. You can't perform actions based on the screenshot, use browser_snapshot for actions.
- browser_snapshot: Capture accessibility snapshot of the current page, this is better than screenshot
- browser_click: Perform click on a web page
- browser_drag: Perform drag and drop between two elements
- browser_hover: Hover over element on page
- browser_type: Type text into editable element
- browser_select_option: Select an option in a dropdown
- browser_tab_list: List browser tabs
- browser_tab_new: Open a new tab
- browser_tab_select: Select a tab by index
- browser_tab_close: Close a tab
- browser_generate_playwright_test: Generate a Playwright test for given scenario
- browser_wait_for: Wait for text to appear or disappear or a specified time to pass
===========================
2025-05-25 10:53:14,643 - INFO - Enhanced ReAct agent created successfully
2025-05-25 10:53:31,829 - INFO - === Session 1 ===
2025-05-25 10:53:31,829 - INFO - USER INPUT: Navigate to yahoo.com, wait for the page to load, take a screenshot, handle any consent dialogs by clicking accept, then wait for 10 seconds before taking another screenshot to confirm the page is working.
2025-05-25 10:53:31,829 - INFO - Invoking enhanced agent with system prompt...
2025-05-25 10:53:31,849 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,850 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,850 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,850 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,851 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,851 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,851 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,851 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,851 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,851 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,851 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,851 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,852 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,852 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,852 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,852 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,852 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,852 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,853 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,853 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,853 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,853 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,853 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,853 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,853 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,853 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,854 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,854 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,854 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,854 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,854 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,854 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:31,854 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:31,854 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,430 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,430 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,431 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,431 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,431 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,431 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,431 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,431 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,431 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,431 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,431 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,431 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,431 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,432 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,432 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,432 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,432 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,432 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,432 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,432 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,433 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,433 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,433 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,433 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,433 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,433 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,433 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,433 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,433 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,433 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,433 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,433 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:35,434 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:35,434 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,130 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,131 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,131 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,131 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,131 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,131 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,131 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,131 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,131 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,131 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,131 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,131 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,131 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,131 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,132 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,132 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,132 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,132 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,132 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,132 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,132 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,132 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,132 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,133 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,133 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,133 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,133 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,133 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,133 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,133 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,133 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,133 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:40,133 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:40,133 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,638 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:41,639 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,390 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,390 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,391 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,391 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,391 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,391 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,391 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,391 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,391 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,391 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,391 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,391 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,392 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,393 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,393 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,393 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,393 - WARNING - Key '$schema' is not supported in schema, ignoring
2025-05-25 10:53:43,393 - WARNING - Key 'additionalProperties' is not supported in schema, ignoring
2025-05-25 10:53:43,393 - WARNING - Key '$schema' is not supported in schema, ignoring
